            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2448000.500000000, A.D. 1990-Apr-19 00:00:00.0000,  5.522532937300618E-02,  8.991336317790976E+00,  2.484442229137136E+00,  1.136834827368779E+02,  3.393778747525688E+02,  2.452815825203004E+06,  3.357547203366952E-02,  1.983231833135138E+02,  1.964566529087137E+02,  9.516910854335176E+00,  1.004248539087937E+01,  1.072211284591894E+04,
2448400.500000000, A.D. 1991-May-24 00:00:00.0000,  5.478508227728366E-02,  8.997054447337453E+00,  2.486321554297168E+00,  1.136748748682691E+02,  3.398622570135134E+02,  2.452833319535257E+06,  3.356691715662239E-02,  2.112039138897537E+02,  2.081332159215412E+02,  9.518527774629121E+00,  1.004000110192079E+01,  1.072484548760463E+04,
2448800.500000000, A.D. 1992-Jun-27 00:00:00.0000,  5.401858152885988E-02,  9.009257479882766E+00,  2.487588800221025E+00,  1.136805261494322E+02,  3.398807720296246E+02,  2.452839189232612E+06,  3.353949654311485E-02,  2.245443964440806E+02,  2.204055833314558E+02,  9.523715058212446E+00,  1.003817263654213E+01,  1.073361371233530E+04,
2449200.500000000, A.D. 1993-Aug-01 00:00:00.0000,  5.316547318187680E-02,  9.025396592710655E+00,  2.488453129291731E+00,  1.136983911811449E+02,  3.393178432428414E+02,  2.452829153231832E+06,  3.349483296816738E-02,  2.384588661003866E+02,  2.334476318014929E+02,  9.532179422143461E+00,  1.003896225157627E+01,  1.074792641426618E+04,
2449600.500000000, A.D. 1994-Sep-05 00:00:00.0000,  5.252845247444935E-02,  9.041183301757716E+00,  2.488102536796682E+00,  1.137100706981452E+02,  3.383079548810382E+02,  2.452805368713618E+06,  3.344086349789214E-02,  2.528264228192448E+02,  2.471939975428092E+02,  9.542432514591052E+00,  1.004368172742439E+01,  1.076527225508671E+04,
2450000.500000000, A.D. 1995-Oct-10 00:00:00.0000,  5.233965113288509E-02,  9.054043431916178E+00,  2.487230128156545E+00,  1.137127892017397E+02,  3.369812461987350E+02,  2.452770927026964E+06,  3.337961577136839E-02,  2.675242103173293E+02,  2.615598011909505E+02,  9.554101786299148E+00,  1.005416014068212E+01,  1.078502528207028E+04,
2450400.500000000, A.D. 1996-Nov-13 00:00:00.0000,  5.272909013430775E-02,  9.061736956018036E+00,  2.486040376159209E+00,  1.136923092756310E+02,  3.356865073354685E+02,  2.452735096590896E+06,  3.331656763674772E-02,  2.822192547749059E+02,  2.762412184253051E+02,  9.566151416285805E+00,  1.007056587655357E+01,  1.080543481924965E+04,
2450800.500000000, A.D. 1997-Dec-18 00:00:00.0000,  5.368077167932403E-02,  9.062858972750234E+00,  2.485327639291818E+00,  1.136610075937884E+02,  3.348488227891104E+02,  2.452710236106768E+06,  3.326019514158534E-02,  2.964818044199524E+02,  2.908155423466582E+02,  9.576957438382657E+00,  1.009105590401508E+01,  1.082374888263631E+04,
2451200.500000000, A.D. 1999-Jan-22 00:00:00.0000,  5.485902142255738E-02,  9.056789626827147E+00,  2.485376033672626E+00,  1.136252879515821E+02,  3.350385800189964E+02,  2.452712658807944E+06,  3.323147353566522E-02,  3.097487345920931E+02,  3.047007687699764E+02,  9.582474818157568E+00,  1.010816000948799E+01,  1.083310373262970E+04,
2451600.500000000, A.D. 2000-Feb-26 00:00:00.0000,  5.600047067956360E-02,  9.045885317043247E+00,  2.486303171604242E+00,  1.135888128525805E+02,  3.363431269557676E+02,  2.452745216450077E+06,  3.323128838919397E-02,  3.219595975236244E+02,  3.177788100482231E+02,  9.582510410312569E+00,  1.011913550358189E+01,  1.083316408872860E+04,
2452000.500000000, A.D. 2001-Apr-01 00:00:00.0000,  5.708838336831088E-02,  9.036397883081493E+00,  2.487634717325647E+00,  1.135703168620001E+02,  3.379802345388186E+02,  2.452787625360821E+06,  3.322611704515943E-02,  3.338468806321281E+02,  3.307681632074251E+02,  9.583504671797042E+00,  1.013061146051259E+01,  1.083485017255264E+04,
2452400.500000000, A.D. 2002-May-06 00:00:00.0000,  5.765157421768968E-02,  9.031928715444785E+00,  2.488284728933932E+00,  1.135821634535915E+02,  3.392766950888633E+02,  2.452822336007283E+06,  3.322099540782175E-02,  3.459861879391959E+02,  3.442668065494941E+02,  9.584489630729463E+00,  1.013705054601414E+01,  1.083652056720851E+04,
2452800.500000000, A.D. 2003-Jun-10 00:00:00.0000,  5.730198899307644E-02,  9.030888893353666E+00,  2.487619519682052E+00,  1.136088505449705E+02,  3.401811758261272E+02,  2.452847253687307E+06,  3.324522421605287E-02,  3.584456631825558E+02,  3.582538623125149E+02,  9.579832340695731E+00,  1.012877578803780E+01,  1.082862301244969E+04,
2453200.500000000, A.D. 2004-Jul-14 00:00:00.0000,  5.639763934113581E-02,  9.031394350542996E+00,  2.486588255085274E+00,  1.136232527299502E+02,  3.406360230777595E+02,  2.452859699908697E+06,  3.329028001640847E-02,  1.134533046910959E+01,  1.271064630943925E+01,  9.571186685286461E+00,  1.011097902002993E+01,  1.081396731486065E+04,
2453600.500000000, A.D. 2005-Aug-18 00:00:00.0000,  5.529927407191722E-02,  9.031700882206412E+00,  2.485304560582788E+00,  1.136211190825990E+02,  3.405375641098576E+02,  2.452856644183981E+06,  3.334672466804079E-02,  2.480515508951281E+01,  2.763996601506527E+01,  9.560383129094756E+00,  1.008906537598310E+01,  1.079566294992146E+04,
2454000.500000000, A.D. 2006-Sep-22 00:00:00.0000,  5.431764590619515E-02,  9.030130995404148E+00,  2.484937005813384E+00,  1.136075253025185E+02,  3.399159149779440E+02,  2.452839145791300E+06,  3.340742341126248E-02,  3.879785178048466E+01,  4.291169047008236E+01,  9.548799294301336E+00,  1.006746759319852E+01,  1.077604805279999E+04,
2454400.500000000, A.D. 2007-Oct-27 00:00:00.0000,  5.367257138880009E-02,  9.024865784163090E+00,  2.485122941088481E+00,  1.135907062064233E+02,  3.388169839080063E+02,  2.452809031415851E+06,  3.347088095084551E-02,  5.326785551704765E+01,  5.839585474828974E+01,  9.536726413401857E+00,  1.004858704264062E+01,  1.075561771226419E+04,
2454800.500000000, A.D. 2008-Nov-30 00:00:00.0000,  5.355329091147841E-02,  9.015893422802101E+00,  2.486064787643146E+00,  1.135863524190607E+02,  3.375818502581462E+02,  2.452776379712709E+06,  3.352719522443754E-02,  6.786307602975600E+01,  7.368434660850717E+01,  9.526044452608309E+00,  1.003619548241452E+01,  1.073755193627413E+04,
2455200.500000000, A.D. 2010-Jan-04 00:00:00.0000,  5.401961312529448E-02,  9.004771709722679E+00,  2.486999328604177E+00,  1.135927599708781E+02,  3.366651550586901E+02,  2.452753819178699E+06,  3.356450655189124E-02,  8.212163445695582E+01,  8.829866001242507E+01,  9.518983516637496E+00,  1.003319532355231E+01,  1.072561574660526E+04,
2455600.500000000, A.D. 2011-Feb-08 00:00:00.0000,  5.476713216369842E-02,  8.996081199939743E+00,  2.487626749082070E+00,  1.136124949244161E+02,  3.364760699813970E+02,  2.452751988700054E+06,  3.357332083394193E-02,  9.563398377220311E+01,  1.018257499544228E+02,  9.517317378660721E+00,  1.003855355738170E+01,  1.072279986184886E+04,
2456000.500000000, A.D. 2012-Mar-14 00:00:00.0000,  5.535742334689413E-02,  8.994263342927177E+00,  2.487607780603657E+00,  1.136361723982481E+02,  3.370694263258980E+02,  2.452770972100427E+06,  3.355204568006490E-02,  1.083572676115085E+02,  1.142391140368024E+02,  9.521340203396393E+00,  1.004841706386561E+01,  1.072959912587076E+04,
2456400.500000000, A.D. 2013-Apr-18 00:00:00.0000,  5.536004594725901E-02,  9.002681068567941E+00,  2.487002264444764E+00,  1.136508927386857E+02,  3.381776098026627E+02,  2.452801452984509E+06,  3.350485918518018E-02,  1.205855634548812E+02,  1.258533589220883E+02,  9.530277678753896E+00,  1.005787428893985E+01,  1.074471013324642E+04,
